丸　佳浩, (広), 左打ち, 143試合, 打率0.291, 652打席, 162安打, 20本塁打, 90打点, 107三振, 長打率0.481
辻　東倫, (巨), 左打ち, 15試合, 打率0.176, 40打席, 6安打, 0本塁打, 0打点, 12三振, 長打率0.235
小笠原　慎之介, (中), 左打ち, 15試合, 打率0.176, 17打席, 3安打, 0本塁打, 0打点, 8三振, 長打率0.176
武山　真吾, (中), 右打ち, 15試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
上林　誠知, (ソ), 左打ち, 14試合, 打率0.211, 19打席, 4安打, 0本塁打, 1打点, 7三振, 長打率0.263
寺原　隼人, (ソ), 右打ち, 14試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩橋　慶侍, (ヤ), 左打ち, 14試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松井　佑介, (中), 右打ち, 14試合, 打率0.190, 21打席, 4安打, 0本塁打, 0打点, 8三振, 長打率0.286
小熊　凌祐, (中), 右打ち, 14試合, 打率0.188, 19打席, 3安打, 0本塁打, 2打点, 9三振, 長打率0.250
高野　圭佑, (ロ), 右打ち, 14試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大累　進, (日), 右打ち, 14試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
佐藤　優, (中), 左打ち, 14試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 5三振, 長打率0.000
マイコラス, (巨), 右打ち, 14試合, 打率0.063, 36打席, 2安打, 1本塁打, 1打点, 17三振, 長打率0.188
大嶺　祐太, (ロ), 左打ち, 14試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
辛島　航, (楽), 左打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
濱矢　廣大, (楽), 左打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石山　泰稚, (ヤ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
阿部　和成, (ロ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
福井　優也, (広), 右打ち, 13試合, 打率0.077, 27打席, 2安打, 0本塁打, 0打点, 16三振, 長打率0.115
斐紹, (ソ), 左打ち, 13試合, 打率0.231, 31打席, 6安打, 0本塁打, 1打点, 8三振, 長打率0.269
バンデンハーク, (ソ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岡本　健, (ソ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
拓也, (ソ), 右打ち, 13試合, 打率0.167, 7打席, 1安打, 0本塁打, 1打点, 4三振, 長打率0.333
モスコーソ, (デ), 右打ち, 13試合, 打率0.071, 23打席, 1安打, 0本塁打, 0打点, 7三振, 長打率0.071
田代　将太郎, (西), 左打ち, 13試合, 打率0.250, 5打席, 1安打, 0本塁打, 0打点, 0三振, 長打率0.250
青柳　晃洋, (神), 右打ち, 13試合, 打率0.118, 19打席, 2安打, 0本塁打, 0打点, 9三振, 長打率0.176
原　樹理, (ヤ), 右打ち, 13試合, 打率0.105, 20打席, 2安打, 0本塁打, 2打点, 4三振, 長打率0.158
コーディエ, (オ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
井領　雅貴, (中), 左打ち, 13試合, 打率0.194, 31打席, 6安打, 1本塁打, 1打点, 7三振, 長打率0.323
阿知羅　拓馬, (中), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大嶋　匠, (日), 左打ち, 12試合, 打率0.200, 17打席, 3安打, 0本塁打, 1打点, 2三振, 長打率0.267
郭　俊麟, (西), 右打ち, 12試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松本　剛, (日), 右打ち, 12試合, 打率0.238, 22打席, 5安打, 0本塁打, 2打点, 5三振, 長打率0.286
石川　慎吾, (日), 右打ち, 12試合, 打率0.074, 28打席, 2安打, 0本塁打, 1打点, 5三振, 長打率0.074
公文　克彦, (巨), 左打ち, 12試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
友永　翔太, (中), 左打ち, 12試合, 打率0.222, 10打席, 2安打, 0本塁打, 0打点, 4三振, 長打率0.222
藤井　亮太, (ヤ), 左打ち, 12試合, 打率0.200, 20打席, 4安打, 0本塁打, 0打点, 8三振, 長打率0.250
山田　修義, (オ), 左打ち, 12試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
戸村　健次, (楽), 右打ち, 11試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
バリオス, (ソ), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ブリガム, (楽), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松本　啓二朗, (デ), 左打ち, 11試合, 打率0.154, 14打席, 2安打, 0本塁打, 0打点, 0三振, 長打率0.154
嶺井　博希, (デ), 両打ち, 11試合, 打率0.333, 17打席, 5安打, 0本塁打, 3打点, 2三振, 長打率0.400
香月　良仁, (ロ), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
川本　良平, (楽), 右打ち, 11試合, 打率0.158, 23打席, 3安打, 0本塁打, 2打点, 4三振, 長打率0.211
小野　郁, (楽), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
哲_, (楽), 右打ち, 11試合, 打率0.100, 21打席, 2安打, 1本塁打, 1打点, 6三振, 長打率0.250
東條　大樹, (ロ), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
クラーク, (オ), 左打ち, 11試合, 打率0.172, 34打席, 5安打, 2本塁打, 4打点, 11三振, 長打率0.414
斎藤　佑樹, (日), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
井手　正太郎, (デ), 右打ち, 11試合, 打率0.259, 29打席, 7安打, 1本塁打, 4打点, 5三振, 長打率0.370
永川　勝浩, (広), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
館山　昌平, (ヤ), 右打ち, 10試合, 打率0.000, 14打席, 0安打, 0本塁打, 0打点, 6三振, 長打率0.000
石崎　剛, (神), 右打ち, 10試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
横尾　俊建, (日), 右打ち, 10試合, 打率0.118, 17打席, 2安打, 0本塁打, 0打点, 3三振, 長打率0.118
武田　健吾, (オ), 右打ち, 10試合, 打率0.100, 20打席, 2安打, 0本塁打, 1打点, 3三振, 長打率0.200
柴田　講平, (神), 左打ち, 10試合, 打率0.214, 17打席, 3安打, 0本塁打, 0打点, 3三振, 長打率0.286
鶴岡　一成, (神), 右打ち, 10試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
金子　圭輔, (ソ), 両打ち, 10試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 4三振, 長打率0.000
バンヘッケン, (西), 右打ち, 10試合, 打率0.333, 4打席, 1安打, 0本塁打, 0打点, 2三振, 長打率0.333
藤原　良平, (西), 右打ち, 10試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
藤岡　好明, (デ), 左打ち, 9試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ポーリーノ, (西), 右打ち, 9試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
久保　裕也, (デ), 右打ち, 9試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
岩_　恭平, (オ), 左打ち, 9試合, 打率0.214, 15打席, 3安打, 0本塁打, 0打点, 5三振, 長打率0.214
小山　雄輝, (巨), 右打ち, 9試合, 打率0.500, 2打席, 1安打, 0本塁打, 1打点, 1三振, 長打率0.500
宮川　将, (楽), 右打ち, 9試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
歳内　宏明, (神), 右打ち, 9試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
福原　忍, (神), 右打ち, 9試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
木下　拓哉, (中), 右打ち, 9試合, 打率0.278, 19打席, 5安打, 1本塁打, 2打点, 6三振, 長打率0.556
中_　雄太, (西), 左打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中村　恭平, (広), 左打ち, 8試合, 打率0.100, 10打席, 1安打, 0本塁打, 0打点, 6三振, 長打率0.100
江草　仁貴, (広), 左打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
肘井　竜蔵, (ロ), 左打ち, 8試合, 打率0.000, 10打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
矢貫　俊之, (巨), 右打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
秋山　拓巳, (神), 左打ち, 8試合, 打率1.000, 3打席, 2安打, 0本塁打, 0打点, 0三振, 長打率1.000
中田　廉, (広), 右打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
近藤　一樹, (ヤ), 右打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
菊池　保則, (楽), 左打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
チェン・グァンユウ, (ロ), 左打ち, 7試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
ネイラー, (中), 右打ち, 7試合, 打率0.250, 15打席, 3安打, 0本塁打, 0打点, 3三振, 長打率0.417
上本　崇司, (広), 両打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
攝津　正, (ソ), 右打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
土田　瑞起, (巨), 右打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
佐藤　勇, (西), 左打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
_橋　朋己, (西), 左打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中村　一生, (オ), 右打ち, 7試合, 打率0.200, 5打席, 1安打, 0本塁打, 1打点, 1三振, 長打率0.400
白仁田　寛和, (オ), 右打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小関　翔太, (楽), 右打ち, 7試合, 打率0.000, 9打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
山崎　晃大朗, (ヤ), 左打ち, 7試合, 打率0.167, 19打席, 3安打, 0本塁打, 0打点, 8三振, 長打率0.167
赤坂　和幸, (中), 右打ち, 7試合, 打率0.000, 10打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
梵　英心, (広), 右打ち, 7試合, 打率0.000, 12打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
長田　秀一郎, (デ), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
風張　蓮, (ヤ), 右打ち, 6試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
木村　優太, (ロ), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
豊田　拓矢, (西), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
横山　弘樹, (広), 左打ち, 6試合, 打率0.000, 12打席, 0安打, 0本塁打, 2打点, 6三振, 長打率0.000
古野　正人, (ヤ), 右打ち, 6試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石橋　良太, (楽), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山本　翔也, (神), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
伊藤　準規, (中), 左打ち, 6試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 4三振, 長打率0.000
小野　淳平, (広), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
新垣　渚, (ヤ), 右打ち, 6試合, 打率0.000, 7打席, 0安打, 0本塁打, 0打点, 6三振, 長打率0.000
岩田　稔, (神), 左打ち, 6試合, 打率0.000, 7打席, 0安打, 0本塁打, 0打点, 4三振, 長打率0.000
野川　拓斗, (デ), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
古川　侑利, (楽), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
西森　将司, (デ), 両打ち, 6試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金田　和之, (神), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
福地　元春, (デ), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
溝脇　隼人, (中), 左打ち, 6試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
藤村　大介, (巨), 左打ち, 5試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
リズ, (楽), 右打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
由規, (ヤ), 左打ち, 5試合, 打率0.125, 9打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.125
近藤　一樹, (オ), 右打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
清水　優心, (日), 右打ち, 5試合, 打率0.250, 8打席, 2安打, 0本塁打, 0打点, 2三振, 長打率0.250
伊藤　和雄, (神), 右打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
猪本　健太郎, (ソ), 右打ち, 5試合, 打率0.000, 10打席, 0安打, 0本塁打, 0打点, 5三振, 長打率0.000
ポレダ, (巨), 左打ち, 5試合, 打率0.000, 9打席, 0安打, 0本塁打, 0打点, 8三振, 長打率0.000
古谷　拓哉, (ロ), 左打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
嘉弥真　新也, (ソ), 左打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
武田　久, (日), 左打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
川井　貴志, (楽), 左打ち, 5試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
土生　翔平, (広), 左打ち, 5試合, 打率0.125, 9打席, 1安打, 0本塁打, 0打点, 1三振, 長打率0.125
佐藤　峻一, (オ), 右打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ブロードウェイ, (デ), 右打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
フェルナンド, (楽), 右打ち, 4試合, 打率0.182, 11打席, 2安打, 0本塁打, 0打点, 3三振, 長打率0.273
新垣　勇人, (日), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
_木　伴, (オ), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小松　聖, (オ), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岡本　洋介, (西), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
奥村　展征, (ヤ), 左打ち, 4試合, 打率0.000, 8打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
ウルフ, (西), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大_　雄太朗, (西), 左打ち, 4試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
土肥　寛昌, (ヤ), 両打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
田面　巧二郎, (神), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岡本　篤志, (西), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松井　雅人, (中), 左打ち, 4試合, 打率0.143, 7打席, 1安打, 0本塁打, 0打点, 4三振, 長打率0.143
守屋　功輝, (神), 右打ち, 4試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
平田　真吾, (デ), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
入野　貴大, (楽), 左打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
黒沢　翔太, (ロ), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大塚　尚仁, (楽), 左打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
武藤　祐太, (中), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
レイ, (楽), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山田　大樹, (ソ), 左打ち, 4試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
三嶋　一輝, (デ), 両打ち, 4試合, 打率0.000, 8打席, 0安打, 0本塁打, 0打点, 5三振, 長打率0.000
南川　忠亮, (西), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
田中　豊樹, (日), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ガルシア, (巨), 右打ち, 4試合, 打率0.000, 7打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
徳山　武陽, (ヤ), 両打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
メンドーサ, (巨), 右打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中島　彰吾, (ヤ), 右打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
イ・デウン, (ロ), 左打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
塹江　敦哉, (広), 左打ち, 3試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
伊志嶺　翔大, (ロ), 右打ち, 3試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
長谷川　潤, (巨), 右打ち, 3試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
セプティモ, (中), 左打ち, 3試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
三浦　大輔, (デ), 右打ち, 3試合, 打率0.333, 6打席, 2安打, 0本塁打, 0打点, 2三振, 長打率0.333
横山　雄哉, (神), 左打ち, 3試合, 打率0.167, 7打席, 1安打, 0本塁打, 0打点, 4三振, 長打率0.333
宗　佑磨, (オ), 左打ち, 3試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
ミッシュ, (オ), 右打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
北　篤, (巨), 左打ち, 3試合, 打率0.200, 7打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.200
岡本　和真, (巨), 右打ち, 3試合, 打率0.100, 10打席, 1安打, 0本塁打, 0打点, 2三振, 長打率0.200
大山　暁史, (オ), 左打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
庄司　隼人, (広), 左打ち, 3試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
白根　尚貴, (デ), 右打ち, 3試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
アンダーソン, (巨), 左打ち, 3試合, 打率0.250, 12打席, 3安打, 0本塁打, 1打点, 4三振, 長打率0.250
香月　一也, (ロ), 左打ち, 2試合, 打率0.167, 6打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.167
武藤　好貴, (楽), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
井野　卓, (ヤ), 右打ち, 2試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
相原　和友, (楽), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松本　直晃, (西), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中村　勝, (日), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
森越　祐人, (神), 右打ち, 2試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
中川　皓太, (巨), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
飯田　哲矢, (広), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
西原　圭大, (広), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石川　駿, (中), 右打ち, 2試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
清水　誉, (神), 右打ち, 2試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
柳瀬　明宏, (ソ), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金　無英, (楽), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
長谷部　康平, (楽), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
佐藤　祥万, (広), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
角屋　龍太, (オ), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩尾　利弘, (西), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
乾　真大, (巨), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
寺田　哲也, (ヤ), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
加治屋　蓮, (ソ), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
國場　翼, (西), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
江柄子　裕樹, (巨), 右打ち, 2試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
宮_　敦次, (ロ), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
鶴　直人, (神), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松井　淳, (ヤ), 左打ち, 2試合, 打率0.333, 5打席, 1安打, 0本塁打, 0打点, 0三振, 長打率0.333
加藤　健, (巨), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
誠, (西), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
デラバー, (広), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
廣岡　大志, (ヤ), 右打ち, 2試合, 打率0.429, 7打席, 3安打, 1本塁打, 3打点, 2三振, 長打率0.857
本田　圭佑, (西), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
平良　拳太郎, (巨), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
塚田　正義, (ソ), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
雄太, (中), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松本　裕樹, (ソ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
桜井　俊貴, (巨), 右打ち, 1試合, 打率0.000, 2打席, 0安打, 0本塁打, 1打点, 1三振, 長打率0.000
松坂　大輔, (ソ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
八木　智哉, (中), 左打ち, 1試合, 打率0.500, 2打席, 1安打, 0本塁打, 0打点, 0三振, 長打率0.500
岸里　亮佑, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
濱田　達郎, (中), 左打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
釜元　豪, (ソ), 左打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
金平　将至, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大隣　憲司, (ソ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金子　丈, (中), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小林　寛, (デ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小宮山　慎二, (神), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
植田　海, (神), 両打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山内　壮馬, (楽), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
国吉　佑樹, (デ), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
八木　亮祐, (オ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
