筒香　嘉智, (デ), 左打ち, 133試合, 打率0.322, 561打席, 151安打, 44本塁打, 110打点, 105三振, 長打率0.680
木村　文紀, (西), 右打ち, 28試合, 打率0.167, 35打席, 5安打, 0本塁打, 2打点, 12三振, 長打率0.200
木村　昇吾, (西), 左打ち, 38試合, 打率0.221, 108打席, 21安打, 0本塁打, 5打点, 22三振, 長打率0.263
小石　博孝, (西), 左打ち, 50試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
熊代　聖人, (西), 右打ち, 28試合, 打率0.167, 9打席, 1安打, 0本塁打, 0打点, 2三振, 長打率0.167
郭　俊麟, (西), 右打ち, 12試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岡本　洋介, (西), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岸　孝之, (西), 右打ち, 19試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
菊池　雄星, (西), 左打ち, 22試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
米野　智人, (日), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
入野　貴大, (楽), 左打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
吉川　光夫, (日), 左打ち, 27試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
大塚　尚仁, (楽), 左打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
安樂　智大, (楽), 左打ち, 15試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
阿部　俊人, (楽), 左打ち, 55試合, 打率0.185, 28打席, 5安打, 0本塁打, 2打点, 8三振, 長打率0.259
伊志嶺　忠, (楽), 左打ち, 27試合, 打率0.167, 22打席, 3安打, 0本塁打, 1打点, 4三振, 長打率0.167
石橋　良太, (楽), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小野　郁, (楽), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
川本　良平, (楽), 右打ち, 11試合, 打率0.158, 23打席, 3安打, 0本塁打, 2打点, 4三振, 長打率0.211
川井　貴志, (楽), 左打ち, 5試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金　無英, (楽), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
菊池　保則, (楽), 左打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金刃　憲人, (楽), 左打ち, 54試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
加藤　正志, (楽), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
辛島　航, (楽), 左打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
釜田　佳直, (楽), 右打ち, 20試合, 打率0.200, 5打席, 1安打, 0本塁打, 1打点, 2三振, 長打率0.400
牧田　和久, (西), 右打ち, 50試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
本田　圭佑, (西), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
増田　達至, (西), 右打ち, 53試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
誠, (西), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
バンヘッケン, (西), 右打ち, 10試合, 打率0.333, 4打席, 1安打, 0本塁打, 0打点, 2三振, 長打率0.333
バスケス, (西), 右打ち, 19試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ポーリーノ, (西), 右打ち, 9試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
藤原　良平, (西), 右打ち, 10試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松本　直晃, (西), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
渡辺　直人, (西), 右打ち, 70試合, 打率0.309, 207打席, 56安打, 0本塁打, 16打点, 20三振, 長打率0.348
明石　健志, (ソ), 左打ち, 47試合, 打率0.230, 152打席, 31安打, 0本塁打, 16打点, 34三振, 長打率0.304
青山　浩二, (楽), 右打ち, 50試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
相原　和友, (楽), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
南川　忠亮, (西), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
水口　大地, (西), 左打ち, 20試合, 打率0.500, 6打席, 3安打, 0本塁打, 1打点, 1三振, 長打率0.500
斐紹, (ソ), 左打ち, 13試合, 打率0.231, 31打席, 6安打, 0本塁打, 1打点, 8三振, 長打率0.269
飯田　優也, (ソ), 左打ち, 30試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
涌井　秀章, (ロ), 右打ち, 26試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 4三振, 長打率0.000
柳瀬　明宏, (ソ), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金子　圭輔, (ソ), 両打ち, 10試合, 打率0.000, 5打席, 0安打, 0本塁打, 0打点, 4三振, 長打率0.000
和田　毅, (ソ), 左打ち, 24試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
山田　大樹, (ソ), 左打ち, 4試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松本　裕樹, (ソ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
釜元　豪, (ソ), 左打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
森福　允彦, (ソ), 左打ち, 50試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
森　唯斗, (ソ), 右打ち, 56試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
阿部　和成, (ロ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大谷　智久, (ロ), 右打ち, 32試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
江村　直也, (ロ), 右打ち, 22試合, 打率0.130, 24打席, 3安打, 0本塁打, 4打点, 10三振, 長打率0.174
大嶺　祐太, (ロ), 左打ち, 14試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大嶺　翔太, (ロ), 右打ち, 38試合, 打率0.236, 80打席, 17安打, 0本塁打, 7打点, 20三振, 長打率0.319
石川　歩, (ロ), 右打ち, 23試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
イ・デウン, (ロ), 左打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
内　竜也, (ロ), 右打ち, 34試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
伊志嶺　翔大, (ロ), 右打ち, 3試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
拓也, (ソ), 右打ち, 13試合, 打率0.167, 7打席, 1安打, 0本塁打, 1打点, 4三振, 長打率0.333
_田　知季, (ソ), 左打ち, 36試合, 打率0.175, 77打席, 11安打, 0本塁打, 2打点, 15三振, 長打率0.206
塚田　正義, (ソ), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
武田　翔太, (ソ), 右打ち, 27試合, 打率0.000, 6打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
スアレス, (ソ), 右打ち, 58試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
サファテ, (ソ), 右打ち, 64試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
千賀　滉大, (ソ), 左打ち, 25試合, 打率0.200, 5打席, 1安打, 0本塁打, 0打点, 4三振, 長打率0.200
攝津　正, (ソ), 右打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
寺原　隼人, (ソ), 右打ち, 14試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
東浜　巨, (ソ), 右打ち, 23試合, 打率0.000, 7打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
嘉弥真　新也, (ソ), 左打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松坂　大輔, (ソ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
牧原　大成, (ソ), 左打ち, 41試合, 打率0.244, 97打席, 22安打, 0本塁打, 6打点, 15三振, 長打率0.278
川島　慶三, (ソ), 右打ち, 20試合, 打率0.125, 50打席, 5安打, 0本塁打, 3打点, 10三振, 長打率0.125
中田　賢一, (ソ), 右打ち, 17試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
バンデンハーク, (ソ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
バリオス, (ソ), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
肘井　竜蔵, (ロ), 左打ち, 8試合, 打率0.000, 10打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
西野　勇士, (ロ), 右打ち, 42試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
福浦　和也, (ロ), 左打ち, 36試合, 打率0.244, 90打席, 20安打, 0本塁打, 7打点, 12三振, 長打率0.268
平沢　大河, (ロ), 左打ち, 23試合, 打率0.149, 53打席, 7安打, 0本塁打, 3打点, 18三振, 長打率0.234
大隣　憲司, (ソ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
チェン・グァンユウ, (ロ), 左打ち, 7試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
上林　誠知, (ソ), 左打ち, 14試合, 打率0.211, 19打席, 4安打, 0本塁打, 1打点, 7三振, 長打率0.263
東條　大樹, (ロ), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
藤岡　貴裕, (ロ), 左打ち, 32試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
南　昌輝, (ロ), 右打ち, 57試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
三木　亮, (ロ), 右打ち, 75試合, 打率0.185, 58打席, 10安打, 0本塁打, 2打点, 17三振, 長打率0.241
吉田　裕太, (ロ), 右打ち, 24試合, 打率0.000, 35打席, 0安打, 0本塁打, 0打点, 12三振, 長打率0.000
宮_　敦次, (ロ), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
古谷　拓哉, (ロ), 左打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
二木　康太, (ロ), 右打ち, 22試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
松永　昂大, (ロ), 左打ち, 53試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
益田　直也, (ロ), 右打ち, 61試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金澤　岳, (ロ), 左打ち, 17試合, 打率0.188, 41打席, 6安打, 0本塁打, 2打点, 13三振, 長打率0.219
加藤　翔平, (ロ), 両打ち, 80試合, 打率0.245, 246打席, 53安打, 0本塁打, 12打点, 46三振, 長打率0.310
唐川　侑己, (ロ), 右打ち, 15試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
金森　敬之, (ロ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
加治屋　蓮, (ソ), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岡田　幸文, (ロ), 左打ち, 121試合, 打率0.275, 356打席, 90安打, 0本塁打, 18打点, 42三振, 長打率0.315
香月　良仁, (ロ), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
香月　一也, (ロ), 左打ち, 2試合, 打率0.167, 6打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.167
木村　優太, (ロ), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
関谷　亮太, (ロ), 右打ち, 16試合, 打率0.500, 3打席, 1安打, 0本塁打, 1打点, 0三振, 長打率0.500
岡本　健, (ソ), 右打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
田中　靖洋, (ロ), 右打ち, 17試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
高野　圭佑, (ロ), 右打ち, 14試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
黒沢　翔太, (ロ), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
カニザレス, (ソ), 右打ち, 16試合, 打率0.179, 42打席, 7安打, 0本塁打, 3打点, 11三振, 長打率0.205
スタンリッジ, (ロ), 右打ち, 27試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
サブロー, (ロ), 右打ち, 1試合, 打率0.250, 4打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.500
オスカル, (広), 左打ち, 23試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
江草　仁貴, (広), 左打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岡田　明丈, (広), 左打ち, 18試合, 打率0.074, 29打席, 2安打, 0本塁打, 0打点, 13三振, 長打率0.074
大瀬良　大地, (広), 右打ち, 17試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
岩本　貴裕, (広), 左打ち, 27試合, 打率0.333, 22打席, 7安打, 0本塁打, 5打点, 8三振, 長打率0.524
今村　猛, (広), 右打ち, 67試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中村　勝, (日), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
上本　崇司, (広), 両打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小野　淳平, (広), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ジョンソン, (広), 左打ち, 26試合, 打率0.109, 66打席, 6安打, 0本塁打, 0打点, 20三振, 長打率0.127
ジャクソン, (広), 右打ち, 67試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
白濱　裕太, (広), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
庄司　隼人, (広), 左打ち, 3試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
九里　亜蓮, (広), 右打ち, 27試合, 打率0.056, 21打席, 1安打, 0本塁打, 0打点, 11三振, 長打率0.056
中島　卓也, (日), 左打ち, 143試合, 打率0.243, 600打席, 115安打, 0本塁打, 28打点, 117三振, 長打率0.268
佐藤　祥万, (広), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
黒田　博樹, (広), 右打ち, 24試合, 打率0.089, 52打席, 4安打, 0本塁打, 5打点, 21三振, 長打率0.111
山_　福也, (オ), 左打ち, 17試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山崎　勝己, (オ), 右打ち, 43試合, 打率0.152, 80打席, 10安打, 0本塁打, 0打点, 16三振, 長打率0.167
吉田　一将, (オ), 左打ち, 54試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山田　修義, (オ), 左打ち, 12試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
宗　佑磨, (オ), 左打ち, 3試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
宮_　祐樹, (オ), 右打ち, 23試合, 打率0.238, 49打席, 10安打, 0本塁打, 0打点, 8三振, 長打率0.262
八木　亮祐, (オ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
マーティン, (日), 右打ち, 52試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
藤岡　好明, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石原　慶幸, (広), 右打ち, 106試合, 打率0.202, 289打席, 49安打, 0本塁打, 17打点, 54三振, 長打率0.230
飯田　哲矢, (広), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
一岡　竜司, (広), 右打ち, 27試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
磯村　嘉孝, (広), 右打ち, 24試合, 打率0.161, 32打席, 5安打, 0本塁打, 2打点, 5三振, 長打率0.194
白村　明弘, (日), 左打ち, 22試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
若月　健矢, (オ), 右打ち, 85試合, 打率0.227, 262打席, 52安打, 0本塁打, 20打点, 42三振, 長打率0.284
バース, (日), 右打ち, 37試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
赤松　真人, (広), 右打ち, 89試合, 打率0.368, 21打席, 7安打, 0本塁打, 3打点, 4三振, 長打率0.526
アンダーソン, (巨), 左打ち, 3試合, 打率0.250, 12打席, 3安打, 0本塁打, 1打点, 4三振, 長打率0.250
横山　弘樹, (広), 左打ち, 6試合, 打率0.000, 12打席, 0安打, 0本塁打, 2打点, 6三振, 長打率0.000
武田　勝, (日), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
相川　亮二, (巨), 右打ち, 37試合, 打率0.244, 48打席, 10安打, 0本塁打, 4打点, 10三振, 長打率0.293
塹江　敦哉, (広), 左打ち, 3試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
ヘーゲンズ, (広), 右打ち, 50試合, 打率0.143, 14打席, 2安打, 0本塁打, 0打点, 2三振, 長打率0.143
薮田　和樹, (広), 右打ち, 16試合, 打率0.167, 7打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.167
田中　豊樹, (日), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
乾　真大, (巨), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ガルシア, (巨), 右打ち, 4試合, 打率0.000, 7打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
岡本　和真, (巨), 右打ち, 3試合, 打率0.100, 10打席, 1安打, 0本塁打, 0打点, 2三振, 長打率0.200
武田　久, (日), 左打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
加藤　健, (巨), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
内海　哲也, (巨), 左打ち, 18試合, 打率0.036, 35打席, 1安打, 0本塁打, 0打点, 18三振, 長打率0.036
今村　信貴, (巨), 左打ち, 16試合, 打率0.091, 24打席, 2安打, 0本塁打, 0打点, 9三振, 長打率0.091
大竹　寛, (巨), 右打ち, 17試合, 打率0.042, 31打席, 1安打, 0本塁打, 0打点, 11三振, 長打率0.042
江柄子　裕樹, (巨), 右打ち, 2試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
中_　翔太, (広), 右打ち, 61試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
永川　勝浩, (広), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
中村　恭平, (広), 左打ち, 8試合, 打率0.100, 10打席, 1安打, 0本塁打, 0打点, 6三振, 長打率0.100
中田　廉, (広), 右打ち, 8試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
梵　英心, (広), 右打ち, 7試合, 打率0.000, 12打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
谷元　圭介, (日), 右打ち, 58試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
戸田　隆矢, (広), 左打ち, 17試合, 打率0.267, 15打席, 4安打, 0本塁打, 2打点, 7三振, 長打率0.267
デラバー, (広), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
西川　龍馬, (広), 左打ち, 62試合, 打率0.294, 58打席, 15安打, 0本塁打, 3打点, 9三振, 長打率0.392
廣瀬　純, (広), 右打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
久本　祐一, (広), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
船越　涼太, (広), 右打ち, 1試合, 打率1.000, 1打席, 1安打, 0本塁打, 0打点, 0三振, 長打率1.000
福井　優也, (広), 右打ち, 13試合, 打率0.077, 27打席, 2安打, 0本塁打, 0打点, 16三振, 長打率0.115
野間　峻祥, (広), 左打ち, 21試合, 打率0.292, 25打席, 7安打, 0本塁打, 1打点, 3三振, 長打率0.292
西原　圭大, (広), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
土生　翔平, (広), 左打ち, 5試合, 打率0.125, 9打席, 1安打, 0本塁打, 0打点, 1三振, 長打率0.125
野村　祐輔, (広), 右打ち, 25試合, 打率0.163, 54打席, 7安打, 0本塁打, 3打点, 15三振, 長打率0.163
ミッシュ, (オ), 右打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
吉持　亮汰, (楽), 右打ち, 21試合, 打率0.161, 37打席, 5安打, 0本塁打, 1打点, 6三振, 長打率0.226
横山　貴明, (楽), 右打ち, 19試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
レイ, (楽), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
リズ, (楽), 右打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
武藤　好貴, (楽), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
宮川　将, (楽), 右打ち, 9試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
山内　壮馬, (楽), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
メンドーサ, (日), 右打ち, 23試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
青山　大紀, (オ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大山　暁史, (オ), 左打ち, 3試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大田　阿斗里, (オ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小田　裕也, (オ), 左打ち, 78試合, 打率0.137, 58打席, 7安打, 0本塁打, 3打点, 19三振, 長打率0.137
奥浪　鏡, (オ), 右打ち, 15試合, 打率0.265, 42打席, 9安打, 0本塁打, 1打点, 11三振, 長打率0.324
宮西　尚生, (日), 左打ち, 58試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
赤間　謙, (オ), 右打ち, 24試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大城　滉二, (オ), 右打ち, 64試合, 打率0.224, 177打席, 36安打, 0本塁打, 7打点, 38三振, 長打率0.261
岩_　恭平, (オ), 左打ち, 9試合, 打率0.214, 15打席, 3安打, 0本塁打, 0打点, 5三振, 長打率0.214
則本　昂大, (楽), 左打ち, 28試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
西宮　悠介, (楽), 左打ち, 29試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
濱矢　廣大, (楽), 左打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
長谷部　康平, (楽), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
塩見　貴洋, (楽), 左打ち, 24試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
小関　翔太, (楽), 右打ち, 7試合, 打率0.000, 9打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
戸村　健次, (楽), 右打ち, 11試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
横尾　俊建, (日), 右打ち, 10試合, 打率0.118, 17打席, 2安打, 0本塁打, 0打点, 3三振, 長打率0.118
フェルナンド, (楽), 右打ち, 4試合, 打率0.182, 11打席, 2安打, 0本塁打, 0打点, 3三振, 長打率0.273
松井　裕樹, (楽), 左打ち, 58試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
牧田　明久, (楽), 右打ち, 16試合, 打率0.355, 34打席, 11安打, 0本塁打, 2打点, 2三振, 長打率0.419
美馬　学, (楽), 左打ち, 26試合, 打率0.667, 3打席, 2安打, 0本塁打, 1打点, 1三振, 長打率0.667
ミコライオ, (楽), 右打ち, 45試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
福山　博之, (楽), 右打ち, 69試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ブリガム, (楽), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
古川　侑利, (楽), 右打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
藤田　一也, (楽), 左打ち, 120試合, 打率0.265, 449打席, 108安打, 0本塁打, 46打点, 44三振, 長打率0.321
堤　裕貴, (オ), 左打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
塚原　頌平, (オ), 左打ち, 54試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
